time,temp
2022-07-30 00:00:00,14.8
2022-07-30 01:00:00,13.9
2022-07-30 02:00:00,14.0
2022-07-30 03:00:00,14.2
2022-07-30 04:00:00,16.3
2022-07-30 05:00:00,18.0
2022-07-30 06:00:00,20.1
2022-07-30 07:00:00,20.5
2022-07-30 08:00:00,21.3
2022-07-30 09:00:00,21.2
2022-07-30 10:00:00,22.5
2022-07-30 11:00:00,22.9
2022-07-30 12:00:00,23.3
2022-07-30 13:00:00,23.3
2022-07-30 14:00:00,23.2
2022-07-30 15:00:00,21.7
2022-07-30 16:00:00,21.5
2022-07-30 17:00:00,20.1
2022-07-30 18:00:00,18.7
2022-07-30 19:00:00,17.5
2022-07-30 20:00:00,16.3
2022-07-30 21:00:00,15.1
2022-07-30 22:00:00,15.2
2022-07-30 23:00:00,14.5
